x0000,y0000
0.,-0.019375
1.,-0.0190625
2.,-0.019375
3.,-0.02
4.,-0.0196875
5.,-0.0190625
6.,-0.020625
7.,-0.0196875
8.,-0.01875
9.,-0.0196875
10.,-0.0196875
11.,-0.019375
12.,-0.019375
13.,-0.019375
14.,-0.0190625
15.,-0.019375
16.,-0.019375
17.,-0.0190625
18.,-0.019375
19.,-0.0190625
20.,-0.019375
21.,-0.0190625
22.,-0.0190625
23.,-0.0196875
24.,-0.02
25.,-0.0196875
26.,-0.019375
27.,-0.0196875
28.,-0.0190625
29.,-0.0196875
30.,-0.02
31.,-0.02
32.,-0.02
33.,-0.0203125
34.,-0.0190625
35.,-0.01875
36.,-0.019375
37.,-0.0190625
38.,-0.019375
39.,-0.0196875
40.,-0.019375
41.,-0.02
42.,-0.0190625
43.,-0.019375
44.,-0.0196875
45.,-0.019375
46.,-0.0196875
47.,-0.019375
48.,-0.0196875
49.,-0.0196875
50.,-0.0196875
51.,-0.02
52.,-0.0196875
53.,-0.019375
54.,-0.019375
55.,-0.02
56.,-0.0190625
57.,-0.019375
58.,-0.02
59.,-0.01875
60.,-0.0190625
61.,-0.02
62.,-0.0190625
63.,-0.019375
64.,-0.019375
65.,-0.01875
66.,-0.0196875
67.,-0.01875
68.,-0.019375
69.,-0.0196875
70.,-0.0190625
71.,-0.0190625
72.,-0.019375
73.,-0.02
74.,-0.0196875
75.,-0.020625
76.,-0.0190625
77.,-0.0190625
78.,-0.0190625
79.,-0.02
80.,-0.019375
81.,-0.02
82.,-0.020625
83.,-0.02
84.,-0.0196875
85.,-0.0196875
86.,-0.019375
87.,-0.0190625
88.,-0.019375
89.,-0.019375
90.,-0.0190625
91.,-0.0190625
92.,-0.019375
93.,-0.0196875
94.,-0.0196875
95.,-0.019375
96.,-0.01875
97.,-0.02
98.,-0.0196875
99.,-0.019375
100.,-0.02
101.,-0.02
102.,-0.0190625
103.,-0.0190625
104.,-0.02
105.,-0.0196875
106.,-0.0184375
107.,-0.0190625
108.,-0.0196875
109.,-0.019375
110.,-0.019375
111.,-0.0190625
112.,-0.0190625
113.,-0.01875
114.,-0.019375
115.,-0.02
116.,-0.0190625
117.,-0.02
118.,-0.019375
119.,-0.019375
120.,-0.019375
121.,-0.019375
122.,-0.02
123.,-0.02
124.,-0.02
125.,-0.0196875
126.,-0.0184375
127.,-0.0196875
128.,-0.019375
129.,-0.0190625
130.,-0.020625
131.,-0.0190625
132.,-0.019375
133.,-0.0196875
134.,-0.0196875
135.,-0.020625
136.,-0.0190625
137.,-0.0196875
138.,-0.019375
139.,-0.019375
140.,-0.019375
141.,-0.019375
142.,-0.0190625
143.,-0.01875
144.,-0.02
145.,-0.02
146.,-0.019375
147.,-0.0190625
148.,-0.0196875
149.,-0.0196875
150.,-0.019375
151.,-0.0190625
152.,-0.02
153.,-0.019375
154.,-0.0196875
155.,-0.019375
156.,-0.019375
157.,-0.02
158.,-0.02
159.,-0.019375
160.,-0.019375
161.,-0.019375
162.,-0.0190625
163.,-0.01875
164.,-0.019375
165.,-0.019375
166.,-0.0184375
167.,-0.019375
168.,-0.0196875
169.,-0.019375
170.,-0.0196875
171.,-0.0184375
172.,-0.01875
173.,-0.0190625
174.,-0.02
175.,-0.0184375
176.,-0.0190625
177.,-0.0196875
178.,-0.0190625
179.,-0.0196875
180.,-0.019375
181.,-0.01875
182.,-0.0184375
183.,-0.0190625
184.,-0.0196875
185.,-0.019375
186.,-0.02
187.,-0.02
188.,-0.01875
189.,-0.02
190.,-0.02
191.,-0.0184375
192.,-0.020625
193.,-0.0196875
194.,-0.02
195.,-0.0196875
196.,-0.02
197.,-0.02
198.,-0.0196875
199.,-0.019375
200.,-0.0196875
201.,-0.01875
202.,-0.019375
203.,-0.02
204.,-0.019375
205.,-0.020625
206.,-0.018125
207.,-0.0190625
208.,-0.0190625
209.,-0.02
210.,-0.02
211.,-0.0190625
212.,-0.0184375
213.,-0.0190625
214.,-0.018125
215.,-0.02
216.,-0.020625
217.,-0.0190625
218.,-0.0196875
219.,-0.02
220.,-0.0196875
221.,-0.02
222.,-0.019375
223.,-0.0196875
224.,-0.02
225.,-0.020625
226.,-0.019375
227.,-0.019375
228.,-0.0190625
229.,-0.019375
230.,-0.0190625
231.,-0.0190625
232.,-0.0184375
233.,-0.0190625
234.,-0.019375
235.,-0.0196875
236.,-0.02
237.,-0.0196875
238.,-0.0196875
239.,-0.020625
240.,-0.02
241.,-0.0190625
242.,-0.02
243.,-0.02
244.,-0.02
245.,-0.0190625
246.,-0.02
247.,-0.0190625
248.,-0.02
249.,-0.019375
250.,-0.0190625
251.,-0.0196875
252.,-0.019375
253.,-0.0190625
254.,-0.02
255.,-0.0196875
256.,-0.02
257.,-0.0190625
258.,-0.0196875
259.,-0.0184375
260.,-0.0190625
261.,-0.0190625
262.,-0.0190625
263.,-0.02
264.,-0.0190625
265.,-0.0190625
266.,-0.019375
267.,-0.02
268.,-0.0190625
269.,-0.0196875
270.,-0.02
271.,-0.0184375
272.,-0.02
273.,-0.0190625
274.,-0.0190625
275.,-0.02
276.,-0.019375
277.,-0.0190625
278.,-0.02
279.,-0.019375
280.,-0.02
281.,-0.0190625
282.,-0.019375
283.,-0.019375
284.,-0.0190625
285.,-0.0190625
286.,-0.02
287.,-0.019375
288.,-0.019375
289.,-0.0190625
290.,-0.019375
291.,-0.019375
292.,-0.0184375
293.,-0.0190625
294.,-0.0203125
295.,-0.0196875
296.,-0.019375
297.,-0.0196875
298.,-0.0190625
299.,-0.01875
300.,-0.019375
301.,-0.0196875
302.,-0.0184375
303.,-0.02
304.,-0.019375
305.,-0.02
306.,-0.020625
307.,-0.01875
308.,-0.02
309.,-0.02
310.,-0.019375
311.,-0.01875
312.,-0.0196875
313.,-0.019375
314.,-0.0196875
315.,-0.020625
316.,-0.0190625
317.,-0.0196875
318.,-0.0196875
319.,-0.02
320.,-0.0196875
321.,-0.0190625
322.,-0.01875
323.,-0.019375
324.,-0.0190625
325.,-0.02
326.,-0.0196875
327.,-0.02
328.,-0.0190625
329.,-0.0196875
330.,-0.0203125
331.,-0.019375
332.,-0.019375
333.,-0.0190625
334.,-0.019375
335.,-0.0190625
336.,-0.0190625
337.,-0.0196875
338.,-0.02
339.,-0.0190625
340.,-0.0196875
341.,-0.0184375
342.,-0.019375
343.,-0.01875
344.,-0.0196875
345.,-0.0190625
346.,-0.019375
347.,-0.019375
348.,-0.0184375
349.,-0.0196875
350.,-0.01875
351.,-0.01875
352.,-0.0184375
353.,-0.0196875
354.,-0.0190625
355.,-0.0196875
356.,-0.02
357.,-0.019375
358.,-0.019375
359.,-0.02
360.,-0.0196875
361.,-0.0196875
362.,-0.0190625
363.,-0.020625
364.,-0.0190625
365.,-0.0190625
366.,-0.02
367.,-0.0190625
368.,-0.02
369.,-0.0190625
370.,-0.0190625
371.,-0.02
372.,-0.01875
373.,-0.0196875
374.,-0.019375
375.,-0.0190625
376.,-0.0196875
377.,-0.0184375
378.,-0.0190625
379.,-0.0196875
380.,-0.0196875
381.,-0.0190625
382.,-0.0190625
383.,-0.0190625
384.,-0.02
385.,-0.019375
386.,-0.02
387.,-0.0196875
388.,-0.01875
389.,-0.019375
390.,-0.0190625
391.,-0.019375
